Categorie,Sous_categorie,Produit_process,Unite,Type_prestation,Prestation,Emissions_CO2
Revêtements de sol,Parquet,Parquet massif (sans sous-couche),m²,simple,Dépose matériaux sinistrés,2.64
Revêtements de sol,Parquet,Parquet massif (sans sous-couche),m²,simple,Fourniture matériaux neufs,11.33
Revêtements de sol,Parquet,Parquet massif (sans sous-couche),m²,simple,Pose matériaux neufs,-5.08
Revêtements de sol,Parquet,Parquet massif (sans sous-couche),m²,simple,Pose + fourniture,6.24
Revêtements de sol,Parquet,Parquet massif (sans sous-couche),m²,simple,Dépose + fourniture + pose,8.88
Revêtements de sol,Parquet,Parquet contrecollé sans sous-couche,m²,simple,Dépose matériaux sinistrés,1.4
Revêtements de sol,Parquet,Parquet contrecollé sans sous-couche,m²,simple,Fourniture matériaux neufs,8.99
Revêtements de sol,Parquet,Parquet contrecollé sans sous-couche,m²,simple,Pose matériaux neufs,1.32
Revêtements de sol,Parquet,Parquet contrecollé sans sous-couche,m²,simple,Pose + fourniture,10.31
Revêtements de sol,Parquet,Parquet contrecollé sans sous-couche,m²,simple,Dépose + fourniture + pose,11.71
Revêtements de sol,Parquet,Parquet flottant sans sous-couche,m²,simple,Dépose matériaux sinistrés,3.31
Revêtements de sol,Parquet,Parquet flottant sans sous-couche,m²,simple,Fourniture matériaux neufs,17.32
Revêtements de sol,Parquet,Parquet flottant sans sous-couche,m²,simple,Pose matériaux neufs,0.87
Revêtements de sol,Parquet,Parquet flottant sans sous-couche,m²,simple,Pose + fourniture,18.18
Revêtements de sol,Parquet,Parquet flottant sans sous-couche,m²,simple,Dépose + fourniture + pose,21.5
Revêtements de sol,Parquet,Parquet massif avec sous-couche,m²,composée,Dépose matériaux sinistrés,2.72
Revêtements de sol,Parquet,Parquet massif avec sous-couche,m²,composée,Fourniture matériaux neufs,12.63
Revêtements de sol,Parquet,Parquet massif avec sous-couche,m²,composée,Pose matériaux neufs,-4.75
Revêtements de sol,Parquet,Parquet massif avec sous-couche,m²,composée,Pose + fourniture,7.88
Revêtements de sol,Parquet,Parquet massif avec sous-couche,m²,composée,Dépose + fourniture + pose,10.6
Revêtements de sol,Parquet,Parquet contrecollé avec sous-couche,m²,composée,Dépose matériaux sinistrés,1.49
Revêtements de sol,Parquet,Parquet contrecollé avec sous-couche,m²,composée,Fourniture matériaux neufs,10.29
Revêtements de sol,Parquet,Parquet contrecollé avec sous-couche,m²,composée,Pose matériaux neufs,1.65
Revêtements de sol,Parquet,Parquet contrecollé avec sous-couche,m²,composée,Pose + fourniture,11.94
Revêtements de sol,Parquet,Parquet contrecollé avec sous-couche,m²,composée,Dépose + fourniture + pose,13.43
Revêtements de sol,Parquet,Parquet flottant avec sous-couche,m²,composée,Dépose matériaux sinistrés,3.4
Revêtements de sol,Parquet,Parquet flottant avec sous-couche,m²,composée,Fourniture matériaux neufs,18.62
Revêtements de sol,Parquet,Parquet flottant avec sous-couche,m²,composée,Pose matériaux neufs,1.2
Revêtements de sol,Parquet,Parquet flottant avec sous-couche,m²,composée,Pose + fourniture,19.82
Revêtements de sol,Parquet,Parquet flottant avec sous-couche,m²,composée,Dépose + fourniture + pose,23.22
Revêtements de sol,Parquet,Sous-couche,m²,simple,Dépose matériaux sinistrés,0.09
Revêtements de sol,Parquet,Sous-couche,m²,simple,Fourniture matériaux neufs,1.3
Revêtements de sol,Parquet,Sous-couche,m²,simple,Pose matériaux neufs,0.33
Revêtements de sol,Parquet,Sous-couche,m²,simple,Pose + fourniture,1.64
Revêtements de sol,Parquet,Sous-couche,m²,simple,Dépose + fourniture + pose,1.72
Revêtements de sol,Parquet,Ponçage / Lasure / vitrificateur (1 couche),m²,simple,Dépose matériaux sinistrés,0.02
